title,ratings,numofRatings,First Recommendation is: ,Second Recommendation is: ,Third Recommendation is: ,Fourth Recommendation is: 
Mother Night (1996),3.1818181818181817,22,Dragonheart (1996),Amistad (1997),Good Will Hunting (1997),Mr. Smith Goes to Washington (1939)
Mouse Hunt (1997),2.477272727272727,44,"Nightmare on Elm Street, A (1984)",Arsenic and Old Lace (1944),Indiana Jones and the Last Crusade (1989),"Lost World: Jurassic Park, The (1997)"
Mr. Holland's Opus (1995),3.7781569965870307,293,Pretty Woman (1990),William Shakespeare's Romeo and Juliet (1996),Good Will Hunting (1997),On Golden Pond (1981)
Mr. Jones (1993),2.5,2,As Good As It Gets (1997),Braveheart (1995),"Boot, Das (1981)","Blues Brothers, The (1980)"
Mr. Magoo (1997),1.9166666666666667,12,Arsenic and Old Lace (1944),Down Periscope (1996),Brazil (1985),William Shakespeare's Romeo and Juliet (1996)
Mr. Smith Goes to Washington (1939),4.123809523809523,105,Rosewood (1997),Arsenic and Old Lace (1944),It's a Wonderful Life (1946),Kingpin (1996)
Mr. Wonderful (1993),3.0,4,,,,
Mr. Wrong (1996),2.3043478260869565,23,Jungle2Jungle (1997),Nikita (La Femme Nikita) (1990),Mother (1996),Ben-Hur (1959)
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3.9479166666666665,96,True Romance (1993),Army of Darkness (1993),"Nightmare Before Christmas, The (1993)","Close Shave, A (1995)"
Mrs. Dalloway (1997),3.6,15,Blade Runner (1982),Dave (1993),Dances with Wolves (1990),Clueless (1995)
Mrs. Doubtfire (1993),3.4114583333333335,192,G.I. Jane (1997),Kiss the Girls (1997),Good Will Hunting (1997),Grumpier Old Men (1995)
Mrs. Parker and the Vicious Circle (1994),3.272727272727273,22,Dante's Peak (1997),Michael (1996),As Good As It Gets (1997),Amistad (1997)
Mrs. Winterbourne (1996),3.0454545454545454,22,Bound (1996),"Ghost and the Darkness, The (1996)","Long Kiss Goodnight, The (1996)","Killing Fields, The (1984)"
Much Ado About Nothing (1993),4.0625,176,"Manchurian Candidate, The (1962)",Little Women (1994),"Killing Fields, The (1984)","Boot, Das (1981)"
Mulholland Falls (1996),2.8780487804878048,82,"Craft, The (1996)",On Golden Pond (1981),Little Women (1994),Dragonheart (1996)
Multiplicity (1996),2.8358208955223883,134,Scream 2 (1997),Eraser (1996),Bonnie and Clyde (1967),Murder at 1600 (1997)
Muppet Treasure Island (1996),2.761904761904762,84,"Room with a View, A (1986)",Amistad (1997),George of the Jungle (1997),G.I. Jane (1997)
Murder at 1600 (1997),3.0871559633027523,218,Absolute Power (1997),101 Dalmatians (1996),Outbreak (1995),Dragonheart (1996)
Murder in the First (1995),3.6,60,Spawn (1997),Big Night (1996),Absolute Power (1997),Crash (1996)
"Murder, My Sweet (1944)",3.5555555555555554,9,Under Siege (1992),Tombstone (1993),Star Trek: The Wrath of Khan (1982),Groundhog Day (1993)
Muriel's Wedding (1994),3.55,100,Scream 2 (1997),What's Eating Gilbert Grape (1993),"Ice Storm, The (1997)",Lone Star (1996)
Mute Witness (1994),2.9411764705882355,17,Father of the Bride Part II (1995),My Best Friend's Wedding (1997),My Fair Lady (1964),"Peacemaker, The (1997)"
My Best Friend's Wedding (1997),3.36046511627907,172,Conan the Barbarian (1981),Pretty Woman (1990),Stargate (1994),Little Women (1994)
My Crazy Life (Mi vida loca) (1993),3.1818181818181817,11,Big Night (1996),"Devil's Own, The (1997)",Air Force One (1997),Jackie Chan's First Strike (1996)
My Fair Lady (1964),3.816,125,"Devil's Advocate, The (1997)","Devil's Own, The (1997)",G.I. Jane (1997),Sabrina (1995)
My Family (1995),3.6666666666666665,21,Dante's Peak (1997),Fly Away Home (1996),William Shakespeare's Romeo and Juliet (1996),Cold Comfort Farm (1995)
My Favorite Season (1993),3.6666666666666665,3,As Good As It Gets (1997),Cold Comfort Farm (1995),Die Hard (1988),Die Hard: With a Vengeance (1995)
My Favorite Year (1982),3.532258064516129,62,Mimic (1997),Beautiful Girls (1996),"Crow, The (1994)",My Left Foot (1989)
My Fellow Americans (1996),3.1627906976744184,86,Star Trek VI: The Undiscovered Country (1991),Heathers (1989),Star Trek IV: The Voyage Home (1986),Rosewood (1997)
My Left Foot (1989),3.8512396694214877,121,Cold Comfort Farm (1995),Con Air (1997),"Philadelphia Story, The (1940)",Lone Star (1996)
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),2.0,2,Leaving Las Vegas (1995),Trainspotting (1996),Chasing Amy (1997),"Ice Storm, The (1997)"
My Life as a Dog (Mitt liv som hund) (1985),3.978494623655914,93,"Wrong Trousers, The (1993)",What's Eating Gilbert Grape (1993),Kolya (1996),Spawn (1997)
My Man Godfrey (1936),4.037037037037037,27,Jackie Chan's First Strike (1996),Rosewood (1997),Cop Land (1997),Evita (1996)
My Own Private Idaho (1991),3.6333333333333333,30,"Peacemaker, The (1997)",Amistad (1997),Kiss the Girls (1997),Tombstone (1993)
Mystery Science Theater 3000: The Movie (1996),3.4307692307692306,130,"Ice Storm, The (1997)",Ulee's Gold (1997),"Deer Hunter, The (1978)",Bonnie and Clyde (1967)
Nadja (1994),2.25,8,Outbreak (1995),Platoon (1986),My Fair Lady (1964),What's Eating Gilbert Grape (1993)
Naked (1993),3.24,25,"Peacemaker, The (1997)",Star Trek: The Motion Picture (1979),Murder at 1600 (1997),Dante's Peak (1997)
Naked Gun 33 1/3: The Final Insult (1994),2.782608695652174,69,Army of Darkness (1993),Down Periscope (1996),Welcome to the Dollhouse (1995),Murder at 1600 (1997)
Naked in New York (1994),1.5,2,Apt Pupil (1998),"Blues Brothers, The (1980)",Batman (1989),Four Weddings and a Funeral (1994)
National Lampoon's Senior Trip (1995),2.4285714285714284,7,Benny & Joon (1993),GoodFellas (1990),Down Periscope (1996),Men in Black (1997)
Natural Born Killers (1994),2.953125,128,Mother (1996),True Romance (1993),Heathers (1989),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Nell (1994),3.4814814814814814,81,Rosewood (1997),"River Wild, The (1994)",Kiss the Girls (1997),G.I. Jane (1997)
Nelly & Monsieur Arnaud (1995),3.6666666666666665,3,Grosse Pointe Blank (1997),Butch Cassidy and the Sundance Kid (1969),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Ed Wood (1994)
Nemesis 2: Nebula (1995),2.0,1,,,,
"Neon Bible, The (1995)",1.75,4,Fly Away Home (1996),"Fugitive, The (1993)","Crying Game, The (1992)",Mother (1996)
"Net, The (1995)",3.0083333333333333,120,Down Periscope (1996),While You Were Sleeping (1995),My Best Friend's Wedding (1997),"Ghost and the Darkness, The (1996)"
"NeverEnding Story III, The (1994)",2.1666666666666665,12,George of the Jungle (1997),Clerks (1994),True Romance (1993),Jungle2Jungle (1997)
"New Age, The (1994)",1.0,1,,,,
New Jersey Drive (1995),3.0,2,Clueless (1995),What's Eating Gilbert Grape (1993),Little Women (1994),"Crow, The (1994)"
New York Cop (1996),2.5,2,Mars Attacks! (1996),Beavis and Butt-head Do America (1996),Philadelphia (1993),Raising Arizona (1987)
"Newton Boys, The (1998)",3.0,4,Babe (1995),Cold Comfort Farm (1995),Heathers (1989),In & Out (1997)
"Next Karate Kid, The (1994)",2.4444444444444446,9,Star Trek: Generations (1994),Sneakers (1992),"Sex, Lies, and Videotape (1989)",Butch Cassidy and the Sundance Kid (1969)
"Next Step, The (1995)",3.0,1,,,,
"Niagara, Niagara (1997)",2.0,1,,,,
Nick of Time (1995),3.0454545454545454,44,Bound (1996),Like Water For Chocolate (Como agua para chocolate) (1992),Rosewood (1997),Lawrence of Arabia (1962)
Nico Icon (1995),4.0,2,"Professional, The (1994)",Alien (1979),"Abyss, The (1989)",Batman (1989)
Night Falls on Manhattan (1997),3.375,32,"Good, The Bad and The Ugly, The (1966)",Glory (1989),Star Trek: Generations (1994),Star Trek: The Wrath of Khan (1982)
Night Flier (1997),3.7142857142857144,7,Cop Land (1997),Event Horizon (1997),Jungle2Jungle (1997),Starship Troopers (1997)
Night of the Living Dead (1968),3.421875,64,Gattaca (1997),Seven Years in Tibet (1997),"River Wild, The (1994)","Full Monty, The (1997)"
Night on Earth (1991),3.8333333333333335,36,Rosewood (1997),Ben-Hur (1959),Fly Away Home (1996),Ulee's Gold (1997)
"Nightmare Before Christmas, The (1993)",3.5874125874125875,143,"Cable Guy, The (1996)",L.A. Confidential (1997),"Sex, Lies, and Videotape (1989)",Lost Highway (1997)
"Nightmare on Elm Street, A (1984)",3.171171171171171,111,Event Horizon (1997),G.I. Jane (1997),Young Guns (1988),Alien: Resurrection (1997)
Nightwatch (1997),3.0,3,Dante's Peak (1997),Boogie Nights (1997),Starship Troopers (1997),Ulee's Gold (1997)
Nikita (La Femme Nikita) (1990),4.0078740157480315,127,Courage Under Fire (1996),Donnie Brasco (1997),Kiss the Girls (1997),Kolya (1996)
Nil By Mouth (1997),2.0,4,"Sound of Music, The (1965)","Adventures of Priscilla, Queen of the Desert, The (1994)",Amadeus (1984),Cape Fear (1991)
Nina Takes a Lover (1994),2.8333333333333335,6,Cinema Paradiso (1988),Ben-Hur (1959),Being There (1979),Quiz Show (1994)
Nine Months (1995),2.9310344827586206,58,Lawrence of Arabia (1962),"Sex, Lies, and Videotape (1989)",Good Will Hunting (1997),Star Trek: Generations (1994)
Ninotchka (1939),3.769230769230769,26,"Game, The (1997)","Frighteners, The (1996)",Crash (1996),Bram Stoker's Dracula (1992)
Nixon (1995),3.1222222222222222,90,Outbreak (1995),Face/Off (1997),Batman Forever (1995),Father of the Bride Part II (1995)
No Escape (1994),2.4,5,Conan the Barbarian (1981),"Crow, The (1994)",Crash (1996),Independence Day (ID4) (1996)
Nobody Loves Me (Keiner liebt mich) (1994),1.0,1,,,,
Nobody's Fool (1994),3.608695652173913,46,Amistad (1997),Happy Gilmore (1996),Real Genius (1985),"Philadelphia Story, The (1940)"
Normal Life (1996),3.0,1,,,,
North (1994),2.7142857142857144,7,Mystery Science Theater 3000: The Movie (1996),Monty Python's Life of Brian (1979),Star Trek: The Motion Picture (1979),Dante's Peak (1997)
North by Northwest (1959),4.284916201117318,179,To Kill a Mockingbird (1962),Crash (1996),Rear Window (1954),Nikita (La Femme Nikita) (1990)
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3.5555555555555554,54,Crash (1996),One Fine Day (1996),Conan the Barbarian (1981),G.I. Jane (1997)
Nosferatu a Venezia (1986),2.3333333333333335,3,Apocalypse Now (1979),Full Metal Jacket (1987),Fantasia (1940),Chinatown (1974)
Nothing Personal (1995),2.0,1,,,,
Nothing to Lose (1994),3.2857142857142856,7,Ben-Hur (1959),"Birds, The (1963)",Brazil (1985),Happy Gilmore (1996)
Notorious (1946),4.115384615384615,52,Cold Comfort Farm (1995),Scream 2 (1997),"Game, The (1997)",Sleepers (1996)
Now and Then (1995),3.4583333333333335,24,Cold Comfort Farm (1995),Raging Bull (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Fly Away Home (1996)
Nowhere (1997),2.3333333333333335,3,Welcome to the Dollhouse (1995),Heathers (1989),Fargo (1996),Dead Man Walking (1995)
"Nutty Professor, The (1996)",2.914110429447853,163,Scream 2 (1997),Cinderella (1950),GoldenEye (1995),"Craft, The (1996)"
Nénette et Boni (1996),3.5,6,Absolute Power (1997),"Devil's Own, The (1997)","Birdcage, The (1996)",Independence Day (ID4) (1996)
"Object of My Affection, The (1998)",4.0,1,,,,
Of Human Bondage (1934),3.2,5,"Hudsucker Proxy, The (1994)",Liar Liar (1997),Mary Poppins (1964),"Sting, The (1973)"
Of Love and Shadows (1994),3.1666666666666665,6,Mystery Science Theater 3000: The Movie (1996),Beavis and Butt-head Do America (1996),Big Night (1996),Dante's Peak (1997)
Office Killer (1997),1.0,1,,,,
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",2.6,5,"Graduate, The (1967)","Great Escape, The (1963)","Godfather, The (1972)","Godfather: Part II, The (1974)"
"Old Man and the Sea, The (1958)",3.34375,32,Boogie Nights (1997),Seven Years in Tibet (1997),Kiss the Girls (1997),Rosewood (1997)
Old Yeller (1957),3.484375,64,George of the Jungle (1997),Dead Man Walking (1995),Donnie Brasco (1997),On Golden Pond (1981)
Oliver & Company (1988),2.772727272727273,22,My Left Foot (1989),Murder at 1600 (1997),Beautiful Girls (1996),Down Periscope (1996)
"Omen, The (1976)",3.388235294117647,85,"Long Kiss Goodnight, The (1996)",Seven (Se7en) (1995),Rumble in the Bronx (1995),"Lost World: Jurassic Park, The (1997)"
On Golden Pond (1981),3.556603773584906,106,Wag the Dog (1997),Cold Comfort Farm (1995),Ghost (1990),To Kill a Mockingbird (1962)
Once Upon a Time in America (1984),3.4,50,Scream 2 (1997),"Cable Guy, The (1996)",True Romance (1993),"Close Shave, A (1995)"
Once Upon a Time in the West (1969),3.8684210526315788,38,Crash (1996),"Ice Storm, The (1997)","Hunchback of Notre Dame, The (1996)",Jungle2Jungle (1997)
Once Upon a Time... When We Were Colored (1995),3.2857142857142856,28,Pink Floyd - The Wall (1982),Star Trek: Generations (1994),Being There (1979),Mimic (1997)
Once Were Warriors (1994),4.064516129032258,31,My Best Friend's Wedding (1997),Conan the Barbarian (1981),Tombstone (1993),Scream 2 (1997)
One Fine Day (1996),3.232142857142857,112,True Lies (1994),Volcano (1997),Primal Fear (1996),"Manchurian Candidate, The (1962)"
One Flew Over the Cuckoo's Nest (1975),4.291666666666667,264,Kingpin (1996),Arsenic and Old Lace (1944),Scream 2 (1997),Gandhi (1982)
One Night Stand (1997),3.466666666666667,15,"Adventures of Priscilla, Queen of the Desert, The (1994)","Crow, The (1994)",Brazil (1985),Cinderella (1950)
Only You (1994),3.1538461538461537,39,Mimic (1997),"Manchurian Candidate, The (1962)",Volcano (1997),Cool Hand Luke (1967)
Open Season (1996),2.5,2,Beavis and Butt-head Do America (1996),Big Night (1996),Broken Arrow (1996),"Close Shave, A (1995)"
Operation Dumbo Drop (1995),2.5161290322580645,31,Good Will Hunting (1997),Ulee's Gold (1997),Bonnie and Clyde (1967),"Killing Fields, The (1984)"
Original Gangstas (1996),2.142857142857143,7,Conspiracy Theory (1997),Four Weddings and a Funeral (1994),"Game, The (1997)",E.T. the Extra-Terrestrial (1982)
Orlando (1993),3.6176470588235294,34,Amistad (1997),Primal Fear (1996),Secrets & Lies (1996),Murder at 1600 (1997)
Oscar & Lucinda (1997),3.1904761904761907,21,Searching for Bobby Fischer (1993),Waterworld (1995),"Piano, The (1993)",Hoop Dreams (1994)
Othello (1995),3.611111111111111,72,Alien: Resurrection (1997),Kolya (1996),Crash (1996),"Sex, Lies, and Videotape (1989)"
"Other Voices, Other Rooms (1997)",3.0,1,,,,
Out to Sea (1997),2.6842105263157894,19,"Maltese Falcon, The (1941)","Room with a View, A (1986)",Chinatown (1974),Ed Wood (1994)
Outbreak (1995),3.2403846153846154,104,Seven Years in Tibet (1997),Alien: Resurrection (1997),Spawn (1997),Conspiracy Theory (1997)
"Outlaw, The (1943)",2.5,2,Dances with Wolves (1990),2001: A Space Odyssey (1968),Air Force One (1997),"American President, The (1995)"
"Pagemaster, The (1994)",2.25,12,Primal Fear (1996),Tin Cup (1996),Courage Under Fire (1996),Dead Man Walking (1995)
"Pallbearer, The (1996)",2.3181818181818183,22,Cold Comfort Farm (1995),Amistad (1997),Cinema Paradiso (1988),Singin' in the Rain (1952)
Palmetto (1998),3.142857142857143,14,Batman Returns (1992),Eraser (1996),George of the Jungle (1997),"Godfather: Part II, The (1974)"
Palookaville (1996),2.923076923076923,13,Jungle2Jungle (1997),"Net, The (1995)",My Fair Lady (1964),As Good As It Gets (1997)
Panther (1995),2.4,5,Cool Hand Luke (1967),Fly Away Home (1996),Executive Decision (1996),"Manchurian Candidate, The (1962)"
"Paper, The (1994)",3.225,40,Wag the Dog (1997),Jungle2Jungle (1997),"Long Kiss Goodnight, The (1996)",Father of the Bride Part II (1995)
Paradise Lost: The Child Murders at Robin Hood Hills (1996),4.05,20,Father of the Bride Part II (1995),Event Horizon (1997),Willy Wonka and the Chocolate Factory (1971),Scream 2 (1997)
Paradise Road (1997),3.2857142857142856,7,Butch Cassidy and the Sundance Kid (1969),Jackie Brown (1997),Multiplicity (1996),Lost Highway (1997)
"Parent Trap, The (1961)",3.095890410958904,73,Michael (1996),Good Will Hunting (1997),My Best Friend's Wedding (1997),Everyone Says I Love You (1996)
Paris Is Burning (1990),3.814814814814815,27,"Rainmaker, The (1997)",Seven Years in Tibet (1997),One Fine Day (1996),Ben-Hur (1959)
Paris Was a Woman (1995),3.0,1,,,,
"Paris, France (1993)",2.3333333333333335,3,Cinema Paradiso (1988),My Left Foot (1989),"Room with a View, A (1986)",Sense and Sensibility (1995)
"Paris, Texas (1984)",3.5434782608695654,46,Amistad (1997),GoldenEye (1995),"Good, The Bad and The Ugly, The (1966)",Army of Darkness (1993)
Party Girl (1995),2.875,16,"Devil's Advocate, The (1997)",Amistad (1997),Good Will Hunting (1997),"Rainmaker, The (1997)"
Passion Fish (1992),3.1785714285714284,28,Austin Powers: International Man of Mystery (1997),Happy Gilmore (1996),"Manchurian Candidate, The (1962)",Chinatown (1974)
Pather Panchali (1955),4.625,8,Bram Stoker's Dracula (1992),"Philadelphia Story, The (1940)",Welcome to the Dollhouse (1995),Leaving Las Vegas (1995)
Paths of Glory (1957),4.212121212121212,33,Fly Away Home (1996),Spawn (1997),Basic Instinct (1992),Father of the Bride Part II (1995)
Patton (1970),3.9926470588235294,136,Scream 2 (1997),Seven Years in Tibet (1997),Happy Gilmore (1996),101 Dalmatians (1996)
"Peacemaker, The (1997)",3.2720588235294117,136,Bound (1996),Highlander (1986),"Devil's Own, The (1997)",Dante's Peak (1997)
Penny Serenade (1941),3.0,8,"Devil's Own, The (1997)","Clockwork Orange, A (1971)",Cinema Paradiso (1988),"Postino, Il (1994)"
"People vs. Larry Flynt, The (1996)",3.5953488372093023,215,Alien: Resurrection (1997),Boogie Nights (1997),"Devil's Advocate, The (1997)",Scream 2 (1997)
"Perez Family, The (1995)",2.642857142857143,14,Everyone Says I Love You (1996),"Rainmaker, The (1997)",Jungle2Jungle (1997),G.I. Jane (1997)
"Perfect Candidate, A (1996)",4.0,4,Dances with Wolves (1990),Chasing Amy (1997),Dragonheart (1996),"Deer Hunter, The (1978)"
"Perfect World, A (1993)",3.68,50,Bound (1996),Amistad (1997),Cold Comfort Farm (1995),Fly Away Home (1996)
Persuasion (1995),4.045454545454546,44,"Crow, The (1994)",Tombstone (1993),Grumpier Old Men (1995),Real Genius (1985)
"Pest, The (1997)",1.875,8,Benny & Joon (1993),"Devil's Advocate, The (1997)",Dead Poets Society (1989),Fried Green Tomatoes (1991)
Pete's Dragon (1977),2.7209302325581395,43,Everyone Says I Love You (1996),Ulee's Gold (1997),Cinema Paradiso (1988),Michael (1996)
"Phantom, The (1996)",2.575,80,"Devil's Own, The (1997)",Secrets & Lies (1996),Ulee's Gold (1997),Dante's Peak (1997)
Phantoms (1998),2.230769230769231,13,True Lies (1994),Ace Ventura: Pet Detective (1994),Batman (1989),"Terminator, The (1984)"
